n,e,pop
6528000,605000,3
6531000,605000,0
6532000,605000,3
6533000,605000,3
6536000,605000,3
6537000,605000,3
6539000,605000,3
6540000,605000,7
6541000,605000,6
6543000,605000,6
6546000,605000,18
6547000,605000,5
6548000,605000,16
6549000,605000,59
6550000,605000,3
6551000,605000,7
6552000,605000,0
6553000,605000,3
6556000,605000,3
6557000,605000,9
6558000,605000,18
6560000,605000,3
6573000,605000,10
6574000,605000,4
6575000,605000,7
6576000,605000,22
6578000,605000,19
6579000,605000,18
6580000,605000,62
6581000,605000,4
6582000,605000,4
6586000,605000,5
6587000,605000,7
6588000,605000,21
6589000,605000,6
6590000,605000,37
6591000,605000,9
6592000,605000,3
6593000,605000,4
6594000,605000,8
6595000,605000,3
6599000,605000,3
6600000,605000,11
6603000,605000,3
6604000,605000,33
6605000,605000,8
6606000,605000,3
6607000,605000,3
6608000,605000,0
6609000,605000,20
6610000,605000,31
6611000,605000,47
6612000,605000,0
6613000,605000,10
6615000,605000,14
6616000,605000,18
6617000,605000,3
6618000,605000,14
6620000,605000,4
6624000,605000,17
6627000,605000,12
6628000,605000,5
6632000,605000,9
6635000,605000,4
6636000,605000,0
6641000,605000,6
6642000,605000,9
6643000,605000,34
6644000,605000,25
6647000,605000,23
6648000,605000,17
6649000,605000,15
6650000,605000,13
6653000,605000,3
6654000,605000,0
6655000,605000,4
6656000,605000,13
6660000,605000,9
6662000,605000,8
6663000,605000,5
6666000,605000,3
6668000,605000,20
6669000,605000,30
6670000,605000,14
6671000,605000,0
6672000,605000,0
6673000,605000,0
6676000,605000,0
6684000,605000,0
6695000,605000,5
6721000,605000,3
6727000,605000,0
6747000,605000,0
6748000,605000,0
6786000,605000,0
6794000,605000,3
6795000,605000,387
6796000,605000,111
6797000,605000,0
6798000,605000,0
6803000,605000,8
6804000,605000,43
6805000,605000,29
6818000,605000,3
6824000,605000,10
6825000,605000,22
6826000,605000,35
6827000,605000,6
6828000,605000,3
6830000,605000,0
6831000,605000,27
6833000,605000,16
6838000,605000,38
6841000,605000,5
6842000,605000,3
6845000,605000,26
6848000,605000,3
6849000,605000,57
6850000,605000,111
6854000,605000,3
6860000,605000,0
6862000,605000,3
6863000,605000,7
6864000,605000,3
6865000,605000,7
6866000,605000,3
6867000,605000,7
6868000,605000,3
6873000,605000,12
6874000,605000,19
6875000,605000,3
6876000,605000,41
6877000,605000,18
6878000,605000,18
6879000,605000,4
6882000,605000,10
6883000,605000,5
6887000,605000,0
6888000,605000,6
6907000,605000,12
6908000,605000,4
6910000,605000,17
6911000,605000,57
6912000,605000,51
6913000,605000,368
6914000,605000,537
6915000,605000,541
6916000,605000,209
6922000,605000,6
6923000,605000,3
6924000,605000,0
6931000,605000,4
6933000,605000,28
6938000,605000,0
6939000,605000,3
6942000,605000,44
6987000,605000,0
6988000,605000,0
7006000,605000,30
7007000,605000,41
7009000,605000,27
7010000,605000,0
7023000,605000,9
7046000,605000,8
7077000,605000,12
7118000,605000,0
7168000,605000,0
7183000,605000,0
7202000,605000,6
7216000,605000,16
7227000,605000,3
7233000,605000,5
7286000,605000,17
7329000,605000,4
6291000,606000,3
6292000,606000,16
6293000,606000,25
6294000,606000,54
6295000,606000,60
6296000,606000,27
6297000,606000,39
6298000,606000,25
6299000,606000,3
6300000,606000,9
6303000,606000,3
6305000,606000,15
6306000,606000,15
6307000,606000,28
6308000,606000,7
6309000,606000,27
6310000,606000,10
6426000,606000,4
6428000,606000,6
6431000,606000,4
6436000,606000,0
6441000,606000,4
6444000,606000,3
6447000,606000,0
6449000,606000,4
6450000,606000,65
6451000,606000,31
6452000,606000,0
6453000,606000,9
6454000,606000,0
