lat,lon,population
59.312917,16.871077,0
59.321893,16.871571,4
59.330869,16.872065,0
59.339844,16.872559,3
59.348820,16.873053,29
59.357796,16.873548,42
59.402674,16.876025,7
59.411649,16.876522,14
59.420625,16.877019,57
59.429600,16.877516,10
59.438576,16.878013,19
59.447551,16.878511,29
59.456527,16.879009,15
59.501404,16.881504,9
59.537305,16.883505,4
59.555256,16.884508,9
59.573207,16.885512,3
59.582182,16.886014,20
59.591157,16.886517,23
59.600133,16.887020,3
59.609108,16.887523,0
59.618083,16.888027,9
59.653984,16.890045,27
59.662959,16.890550,19
59.671934,16.891055,21
59.680909,16.891561,4
59.689884,16.892067,5
59.698859,16.892574,20
59.725785,16.894095,20
59.734760,16.894603,0
59.752710,16.895620,4
59.761685,16.896128,73
59.770660,16.896638,3
59.788609,16.897657,13
59.797584,16.898167,3
59.806559,16.898677,15
59.833484,16.900210,7
59.842459,16.900721,8
59.851434,16.901233,4
59.860409,16.901746,12
59.869383,16.902258,7
59.878358,16.902771,35
59.887333,16.903284,8
59.896308,16.903798,0
59.905282,16.904312,6
59.923232,16.905341,9
59.932207,16.905855,11
59.959131,16.907402,6
59.968105,16.907918,5
59.977080,16.908435,3
60.012978,16.910504,3
60.021953,16.911022,4
60.066826,16.913617,3
60.093749,16.915179,0
60.120672,16.916743,3
60.129647,16.917265,9
60.138621,16.917787,173
60.147596,16.918310,224
60.156570,16.918833,6
60.165544,16.919357,16
60.327080,16.928835,3
60.336054,16.929365,0
60.461689,16.936817,3
60.470663,16.937352,10
60.479637,16.937887,10
60.488611,16.938423,25
60.497585,16.938959,5
60.506558,16.939495,0
60.533480,16.941106,3
60.542453,16.941643,3
60.551427,16.942181,9
60.560401,16.942720,3
60.569375,16.943258,15
60.605269,16.945416,39
60.614243,16.945957,52
60.623216,16.946497,0
60.766792,16.955197,41
60.784739,16.956291,0
60.802685,16.957386,0
60.811659,16.957934,0
60.820632,16.958483,11
60.829605,16.959031,5
60.838579,16.959581,5
60.847552,16.960130,3
61.000095,16.969527,12
61.018041,16.970640,5
61.260305,16.985800,28
61.269278,16.986366,19
61.278250,16.986933,50
61.287223,16.987501,17
61.296195,16.988068,3
61.305168,16.988637,5
61.341058,16.990913,26
61.350030,16.991483,36
61.359003,16.992053,29
61.412837,16.995484,7
61.520504,17.002385,0
61.529476,17.002962,70
61.538448,17.003540,369
61.547420,17.004119,26
61.556392,17.004697,4
61.574336,17.005856,17
61.583308,17.006436,8
61.592280,17.007016,3
61.655084,17.011089,0
61.735831,17.016353,7
61.744803,17.016940,32
61.753775,17.017527,33
61.762746,17.018115,51
61.771718,17.018703,18
61.780690,17.019291,18
61.789662,17.019880,4
61.843492,17.023421,5
61.852463,17.024013,74
61.861435,17.024605,9
61.870406,17.025197,17
61.879378,17.025790,12
61.888349,17.026383,0
61.897321,17.026976,7
61.906293,17.027570,9
61.915264,17.028165,19
61.969093,17.031739,20
61.978064,17.032336,62
61.987036,17.032934,20
61.996007,17.033532,20
62.022921,17.035328,16
62.040864,17.036528,4
62.265142,17.051659,17
62.274113,17.052269,109
62.283084,17.052880,76
62.292055,17.053492,248
62.301025,17.054103,98
62.309996,17.054716,30
62.318967,17.055328,20
62.327938,17.055941,155
62.336909,17.056555,89
62.354850,17.057783,61
62.408675,17.061478,12
62.444558,17.063949,19
62.489411,17.067048,23
62.498381,17.067669,4
62.507352,17.068290,13
62.516322,17.068912,0
62.552204,17.071404,18
62.561175,17.072028,34
